,districtName,districtCity,lat,lon,name,gradeLevels,rating,percentLowIncome,enrollment,parentRating,numReviews,Asian,African American,Hispanic,White,Two or more races,American Indian/Alaska Native,studentsPerTeacher,Pacific Islander
159,Hanover County Public Schools,Ashland,37.669365,-77.411743,Cool Spring Elementary School,PK-5,8.0,7%,661,4,4,3.0,5.0,3.0,85.0,4.0,,15.0,
160,Henrico County Public Schools,Richmond,37.666874,-77.6101,Short Pump Middle School,6-8,8.0,6%,863,3,31,19.0,6.0,6.0,65.0,4.0,,16.0,
161,Henrico County Public Schools,Richmond,37.678669,-77.523491,Glen Allen Elementary School,PK-5,8.0,13%,656,4,26,15.0,14.0,5.0,61.0,5.0,,18.0,
162,Henrico County Public Schools,Richmond,37.608349,-77.579468,Pemberton Elementary School,PK-5,8.0,19%,301,5,16,2.0,11.0,7.0,71.0,9.0,,15.0,1.0
163,Henry County Public Schools,Martinsville,36.63953,-79.872253,Rich Acres Elementary School,PK-5,8.0,84%,286,5,1,1.0,45.0,11.0,38.0,5.0,,12.0,
164,Lancaster County Public Schools,Weems,37.752312,-76.415108,Lancaster Primary School,PK-3,8.0,80%,394,0,0,1.0,64.0,1.0,30.0,4.0,,15.0,1.0
165,Lee County Public Schools,Jonesville,36.628639,-83.528732,Elydale Elementary School,5-7,8.0,91%,146,3,3,,1.0,4.0,95.0,,,15.0,
166,Lee County Public Schools,Jonesville,36.789761,-83.056854,St. Charles Elementary School,PK-5,8.0,79%,188,4,1,,,1.0,99.0,1.0,,12.0,
167,Loudoun County Public Schools,Broadlands,39.187504,-77.605988,Waterford Elementary School,PK-5,8.0,1%,164,4,15,3.0,1.0,4.0,83.0,9.0,1.0,14.0,
168,Loudoun County Public Schools,Broadlands,39.020847,-77.514008,Hillside Elementary School,PK-5,8.0,5%,785,4,19,29.0,4.0,8.0,50.0,9.0,,17.0,
169,Patrick County Public Schools,Stuart,36.736706,-80.400833,Meadows Of Dan Elementary School,PK-7,8.0,15%,495,5,2,4.0,18.0,6.0,68.0,2.0,,28.0,1.0
