,districtName,districtCity,lat,lon,name,gradeLevels,rating,percentLowIncome,enrollment,parentRating,numReviews,Asian,African American,Hispanic,White,Two or more races,American Indian/Alaska Native,studentsPerTeacher,Pacific Islander
47,Fairfax County Public Schools,Falls Church,38.863136,-77.414749,Poplar Tree Elementary School,PK-6,9.0,5%,762,4,40,40.0,3.0,8.0,45.0,3.0,1.0,12.0,
48,Gloucester County Public Schools,Gloucester,37.416721,-76.534103,Botetourt Elementary School,PK-5,9.0,38%,622,5,20,1.0,6.0,8.0,75.0,10.0,,14.0,
49,Gloucester County Public Schools,Gloucester,37.410332,-76.605171,Bethel Elementary School,PK-5,9.0,35%,491,5,10,,5.0,5.0,81.0,8.0,,15.0,
50,Hampton City Public Schools,Hampton,37.009731,-76.364677,Armstrong Elementary School,K-5,9.0,32%,304,5,41,,34.0,8.0,47.0,11.0,,13.0,
51,Hampton City Public Schools,Hampton,37.045338,-76.307236,Francis W. Jones Magnet Middle School,6-8,9.0,41%,652,4,17,1.0,42.0,7.0,43.0,6.0,,13.0,
52,Henrico County Public Schools,Richmond,37.694588,-77.614677,Shady Grove Elementary School,PK-5,9.0,4%,717,4,36,30.0,4.0,4.0,56.0,5.0,,18.0,
53,Henrico County Public Schools,Richmond,37.649414,-77.611923,Short Pump Elementary School,PK-5,9.0,12%,567,5,32,33.0,4.0,4.0,55.0,4.0,,18.0,
54,Henrico County Public Schools,Richmond,37.58419,-77.552498,Tuckahoe Elementary School,PK-5,9.0,4%,658,5,4,2.0,,3.0,94.0,1.0,,19.0,
55,Henrico County Public Schools,Richmond,37.655811,-77.639282,Nuckols Farm Elementary School,PK-5,9.0,5%,599,5,8,13.0,4.0,3.0,77.0,3.0,1.0,19.0,1.0
56,Loudoun County Public Schools,Broadlands,39.118839,-77.696144,Lincoln Elementary School,PK-5,9.0,7%,100,4,46,1.0,4.0,5.0,87.0,3.0,,16.0,
57,Loudoun County Public Schools,Broadlands,39.144497,-77.762466,Round Hill Elementary School,PK-5,9.0,6%,544,5,13,3.0,3.0,9.0,79.0,6.0,,16.0,
58,Loudoun County Public Schools,Broadlands,39.041866,-77.349632,Lowes Island Elementary School,PK-5,9.0,6%,649,3,63,18.0,4.0,9.0,62.0,6.0,,18.0,
59,Patrick County Public Schools,Stuart,36.595093,-80.51564,Blue Ridge Elementary School,PK-7,9.0,64%,267,4,9,,1.0,8.0,89.0,1.0,,13.0,
